country,vintage,target_month,horizon,model,p10,p50,p90,point,y_true,country_bank
USA,2025-12-31,2008-03,0,xgb,2.9628847303658112,2.9628847303658112,2.9628847303658112,2.9628847303658112,2.975106318257903,111
USA,2025-12-31,2008-04,0,xgb,2.8851886393847392,2.8851886393847392,2.8851886393847392,2.8851886393847392,1.0263216088109317,111
USA,2025-12-31,2008-05,0,xgb,3.39494588761855,3.39494588761855,3.39494588761855,3.39494588761855,1.0263216088109317,111
USA,2025-12-31,2008-06,0,xgb,2.962759903316048,2.962759903316048,2.962759903316048,2.962759903316048,1.0263216088109317,111
USA,2025-12-31,2008-07,0,xgb,2.163900998145252,2.163900998145252,2.163900998145252,2.163900998145252,-0.4082638421300189,111
USA,2025-12-31,2008-08,0,xgb,1.929088340416785,1.929088340416785,1.929088340416785,1.929088340416785,-0.4082638421300189,111
USA,2025-12-31,2008-09,0,xgb,1.8010959734150234,1.8010959734150234,1.8010959734150234,1.8010959734150234,-0.4082638421300189,111
USA,2025-12-31,2008-10,0,xgb,1.3976169078902645,1.3976169078902645,1.3976169078902645,1.3976169078902645,-3.086402443924208,111
USA,2025-12-31,2008-11,0,xgb,1.1889424105786972,1.1889424105786972,1.1889424105786972,1.1889424105786972,-3.086402443924208,111
USA,2025-12-31,2008-12,0,xgb,1.246608189407894,1.246608189407894,1.246608189407894,1.246608189407894,-3.086402443924208,111
USA,2025-12-31,2009-01,0,xgb,0.1443201183296105,0.1443201183296105,0.1443201183296105,0.1443201183296105,-4.73707839027181,111
USA,2025-12-31,2009-02,0,xgb,-0.0467354920481333,-0.0467354920481333,-0.0467354920481333,-0.0467354920481333,-4.73707839027181,111
USA,2025-12-31,2009-03,0,xgb,-0.1666031773847276,-0.1666031773847276,-0.1666031773847276,-0.1666031773847276,-4.73707839027181,111
USA,2025-12-31,2009-04,0,xgb,-0.7955130454615045,-0.7955130454615045,-0.7955130454615045,-0.7955130454615045,-3.868809004467,111
USA,2025-12-31,2009-05,0,xgb,-0.964737112227565,-0.964737112227565,-0.964737112227565,-0.964737112227565,-3.868809004467,111
USA,2025-12-31,2009-06,0,xgb,-0.3715538856589928,-0.3715538856589928,-0.3715538856589928,-0.3715538856589928,-3.868809004467,111
USA,2025-12-31,2009-07,0,xgb,-0.5017783042304491,-0.5017783042304491,-0.5017783042304491,-0.5017783042304491,-2.211731323573818,111
USA,2025-12-31,2009-08,0,xgb,-0.0138234999062403,-0.0138234999062403,-0.0138234999062403,-0.0138234999062403,-2.211731323573818,111
USA,2025-12-31,2009-09,0,xgb,0.4398074351946945,0.4398074351946945,0.4398074351946945,0.4398074351946945,-2.211731323573818,111
USA,2025-12-31,2009-10,0,xgb,0.8390716137299803,0.8390716137299803,0.8390716137299803,0.8390716137299803,0.642919857504709,111
USA,2025-12-31,2009-11,0,xgb,1.6598450593462657,1.6598450593462657,1.6598450593462657,1.6598450593462657,0.642919857504709,111
USA,2025-12-31,2009-12,0,xgb,2.0430386569913805,2.0430386569913805,2.0430386569913805,2.0430386569913805,0.642919857504709,111
USA,2025-12-31,2010-01,0,xgb,2.198267896525308,2.198267896525308,2.198267896525308,2.198267896525308,2.013393794213547,111
USA,2025-12-31,2010-02,0,xgb,2.440144876852912,2.440144876852912,2.440144876852912,2.440144876852912,2.013393794213547,111
USA,2025-12-31,2010-03,0,xgb,2.7561582760895487,2.7561582760895487,2.7561582760895487,2.7561582760895487,2.013393794213547,111
USA,2025-12-31,2010-04,0,xgb,3.818345227189335,3.818345227189335,3.818345227189335,3.818345227189335,3.2184513380304702,111
USA,2025-12-31,2010-05,0,xgb,3.688111078723222,3.688111078723222,3.688111078723222,3.688111078723222,3.2184513380304702,111
USA,2025-12-31,2010-06,0,xgb,3.87823643533578,3.87823643533578,3.87823643533578,3.87823643533578,3.2184513380304702,111
USA,2025-12-31,2010-07,0,xgb,4.349837411812607,4.349837411812607,4.349837411812607,4.349837411812607,3.030759836311936,111
USA,2025-12-31,2010-08,0,xgb,4.325236004702671,4.325236004702671,4.325236004702671,4.325236004702671,3.030759836311936,111
USA,2025-12-31,2010-09,0,xgb,4.560627863466493,4.560627863466493,4.560627863466493,4.560627863466493,3.030759836311936,111
USA,2025-12-31,2010-10,0,xgb,4.389476374750179,4.389476374750179,4.389476374750179,4.389476374750179,2.728491701992386,111
USA,2025-12-31,2010-11,0,xgb,3.864342382066521,3.864342382066521,3.864342382066521,3.864342382066521,2.728491701992386,111
USA,2025-12-31,2010-12,0,xgb,3.5606691425959847,3.5606691425959847,3.5606691425959847,3.5606691425959847,2.728491701992386,111
USA,2025-12-31,2011-01,0,xgb,3.81721699608466,3.81721699608466,3.81721699608466,3.81721699608466,2.215969301362719,111
USA,2025-12-31,2011-02,0,xgb,3.854427813748984,3.854427813748984,3.854427813748984,3.854427813748984,2.215969301362719,111
USA,2025-12-31,2011-03,0,xgb,3.9157563484267577,3.9157563484267577,3.9157563484267577,3.9157563484267577,2.215969301362719,111
USA,2025-12-31,2011-04,0,xgb,2.8462136642836144,2.8462136642836144,2.8462136642836144,2.8462136642836144,1.6162768669169658,111
USA,2025-12-31,2011-05,0,xgb,2.6666924680665893,2.6666924680665893,2.6666924680665893,2.6666924680665893,1.6162768669169658,111
USA,2025-12-31,2011-06,0,xgb,2.4422638016455838,2.4422638016455838,2.4422638016455838,2.4422638016455838,1.6162768669169658,111
USA,2025-12-31,2011-07,0,xgb,2.12437087264723,2.12437087264723,2.12437087264723,2.12437087264723,0.9445301654736228,111
USA,2025-12-31,2011-08,0,xgb,1.938296263781769,1.938296263781769,1.938296263781769,1.938296263781769,0.9445301654736228,111
USA,2025-12-31,2011-09,0,xgb,1.4138952408421224,1.4138952408421224,1.4138952408421224,1.4138952408421224,0.9445301654736228,111
USA,2025-12-31,2011-10,0,xgb,1.909061271881352,1.909061271881352,1.909061271881352,1.909061271881352,1.3666750584591103,111
USA,2025-12-31,2011-11,0,xgb,1.9536310852539929,1.9536310852539929,1.9536310852539929,1.9536310852539929,1.3666750584591103,111
USA,2025-12-31,2011-12,0,xgb,2.636447025361744,2.636447025361744,2.636447025361744,2.636447025361744,1.3666750584591103,111
USA,2025-12-31,2012-01,0,xgb,2.318574953936414,2.318574953936414,2.318574953936414,2.318574953936414,2.9140636805224496,111
USA,2025-12-31,2012-02,0,xgb,2.175616879414654,2.175616879414654,2.175616879414654,2.175616879414654,2.9140636805224496,111
USA,2025-12-31,2012-03,0,xgb,2.420251543675556,2.420251543675556,2.420251543675556,2.420251543675556,2.9140636805224496,111
USA,2025-12-31,2012-04,0,xgb,3.1330974535190625,3.1330974535190625,3.1330974535190625,3.1330974535190625,2.3169493854753087,111
USA,2025-12-31,2012-05,0,xgb,3.2366563228695577,3.2366563228695577,3.2366563228695577,3.2366563228695577,2.3169493854753087,111
USA,2025-12-31,2012-06,0,xgb,3.6341780179315553,3.6341780179315553,3.6341780179315553,3.6341780179315553,2.3169493854753087,111
USA,2025-12-31,2012-07,0,xgb,3.7705321701343,3.7705321701343,3.7705321701343,3.7705321701343,2.337796428034556,111
USA,2025-12-31,2012-08,0,xgb,3.599425609533391,3.599425609533391,3.599425609533391,3.599425609533391,2.337796428034556,111
USA,2025-12-31,2012-09,0,xgb,3.932246111439208,3.932246111439208,3.932246111439208,3.932246111439208,2.337796428034556,111
USA,2025-12-31,2012-10,0,xgb,3.157578741771516,3.157578741771516,3.157578741771516,3.157578741771516,1.5625897555772816,111
USA,2025-12-31,2012-11,0,xgb,3.210638026617918,3.210638026617918,3.210638026617918,3.210638026617918,1.5625897555772816,111
USA,2025-12-31,2012-12,0,xgb,2.58313093737057,2.58313093737057,2.58313093737057,2.58313093737057,1.5625897555772816,111
USA,2025-12-31,2013-01,0,xgb,3.098923223485728,3.098923223485728,3.098923223485728,3.098923223485728,0.9865576729801706,111
USA,2025-12-31,2013-02,0,xgb,3.234582955105836,3.234582955105836,3.234582955105836,3.234582955105836,0.9865576729801706,111
USA,2025-12-31,2013-03,0,xgb,3.1030239032938445,3.1030239032938445,3.1030239032938445,3.1030239032938445,0.9865576729801706,111
USA,2025-12-31,2013-04,0,xgb,2.83762573590407,2.83762573590407,2.83762573590407,2.83762573590407,1.7483508574053674,111
USA,2025-12-31,2013-05,0,xgb,2.842834579827347,2.842834579827347,2.842834579827347,2.842834579827347,1.7483508574053674,111
USA,2025-12-31,2013-06,0,xgb,2.732308066893596,2.732308066893596,2.732308066893596,2.732308066893596,1.7483508574053674,111
USA,2025-12-31,2013-07,0,xgb,2.988196908841334,2.988196908841334,2.988196908841334,2.988196908841334,2.3832050214584344,111
USA,2025-12-31,2013-08,0,xgb,3.294378670055309,3.294378670055309,3.294378670055309,3.294378670055309,2.3832050214584344,111
USA,2025-12-31,2013-09,0,xgb,3.129596800769052,3.129596800769052,3.129596800769052,3.129596800769052,2.3832050214584344,111
USA,2025-12-31,2013-10,0,xgb,3.685176570337423,3.685176570337423,3.685176570337423,3.685176570337423,3.34936621848807,111
USA,2025-12-31,2013-11,0,xgb,3.5467080297613807,3.5467080297613807,3.5467080297613807,3.5467080297613807,3.34936621848807,111
USA,2025-12-31,2013-12,0,xgb,3.6803802993276458,3.6803802993276458,3.6803802993276458,3.6803802993276458,3.34936621848807,111
USA,2025-12-31,2014-01,0,xgb,3.5827121209622392,3.5827121209622392,3.5827121209622392,3.5827121209622392,1.9749379358734889,111
USA,2025-12-31,2014-02,0,xgb,3.437242188259093,3.437242188259093,3.437242188259093,3.437242188259093,1.9749379358734889,111
USA,2025-12-31,2014-03,0,xgb,3.285477154692651,3.285477154692651,3.285477154692651,3.285477154692651,1.9749379358734889,111
