country,model,rmse,mae,r2,country_bank
ALB,xgb,1.412941600773156,0.8655916500856784,-0.246338577328151,914
ARG,xgb,1.9312098204707249,1.1870648009150964,-0.2942327573429233,213
AUS,xgb,0.769885572565692,0.4104213420805147,-0.1643655018984824,193
AUT,xgb,1.1897204652575994,0.5181836541879046,-0.1043738971250356,122
BLR,xgb,1.1552449471733746,0.6854552114536324,-0.3716519543564847,913
BEL,xgb,1.1845204181233924,0.4655155904001353,-0.2234954903973351,124
BOL,xgb,1.6920483676531783,0.7336845368156486,-0.0868270193505946,218
BIH,xgb,1.6645232552388771,0.9729793853254574,-0.1688440758662606,963
BRA,xgb,1.0903345316925104,0.5963357161893309,-0.2030360955632908,223
BGR,xgb,1.2417397942433228,0.7977402692992615,-0.6600266330845059,918
CHL,xgb,1.218438305660163,0.7190308509988245,-0.1631724746126235,228
CHN,xgb,1.3553260058837184,0.8184874479825006,0.0174312314555989,924
COL,xgb,1.489010056759353,0.6569881620011513,-0.1400726814019468,233
CRI,xgb,1.1027177873973906,0.6854498221479042,-0.1234608860370114,238
HRV,xgb,1.6512307543587776,0.8300208220274623,-0.2871032515192702,960
CYP,xgb,1.3525957868242495,0.658647840519871,-0.0833721314564917,423
CZE,xgb,0.977138206750253,0.5047011188393633,-0.0500238642971229,935
DNK,xgb,0.9766373425702928,0.5306620711787466,-0.1637192019005167,128
DOM,xgb,1.6230885090661,0.7505955070718665,-0.1060122948299122,243
ECU,xgb,1.6493772660153525,0.7465864325417043,-0.0059615248185589,248
EGY,xgb,0.8799460511910153,0.5771554048477685,-0.1107086919302728,469
SLV,xgb,1.67865442910577,0.7130830549420842,-0.0998957723877036,253
EST,xgb,1.6562299055963567,1.0098301866623511,-0.1954953648008188,939
FIN,xgb,1.0626346557668116,0.6266691989248467,-0.2993204094815376,172
GEO,xgb,2.132466121158492,1.1196575467716037,-0.2079976621851824,915
DEU,xgb,0.9593845466301848,0.4574683854521268,-0.1736178267530941,134
GHA,xgb,1.7016074409320443,1.1723485690293904,-0.2224497762806991,652
GRC,xgb,1.5907951108921476,0.9189311512439772,-0.2884620264034669,174
GTM,xgb,1.1350687148547272,0.5815575232531892,-0.1766511252807987,258
HND,xgb,1.8581951578328384,0.7854400461124801,-0.113714578394545,268
HKG,xgb,1.0805550011434817,0.7223259891365307,-0.1682599366317194,532
HUN,xgb,1.3378360270197436,0.5808048777055786,-0.1471098173510032,944
ISL,xgb,1.635121136410835,1.0056744057356437,-0.2914066276565143,176
IND,xgb,2.504879179511553,1.036859589123276,-0.0484979890721835,534
IDN,xgb,1.130962440693243,0.7227320327731106,-0.1308333117424465,536
IRN,xgb,1.715881514173489,1.0220926774396255,-0.3092995040166224,429
IRL,xgb,2.143128191240166,1.171312033721048,-0.0950103694176096,178
ISR,xgb,1.400416929677766,0.7282963566604064,-0.1431110068981165,436
ITA,xgb,1.2087008417922809,0.4790824510228944,-0.2752645958085249,136
JPN,xgb,0.8405263424999381,0.4219446442248902,-0.20434274471904,158
JOR,xgb,0.9515568266887272,0.625198567124227,-0.2705217890208382,439
KAZ,xgb,1.1259532856508547,0.7297101588030944,-0.2337530221604249,916
KEN,xgb,0.9406273609955296,0.5675921721791863,0.0224719657844972,664
KOR,xgb,1.0493499461270317,0.6977658094581208,-0.0521678176753446,542
KWT,xgb,1.865905913725869,1.065145525038926,-0.4353929006568056,443
LVA,xgb,1.6465647811776116,1.0452948803707287,-0.2344607297845931,941
LBN,xgb,5.098750204990492,2.337036066040721,-0.069636478910934,446
LTU,xgb,1.3320225625242454,0.775617526604137,-0.1802612903974045,946
LUX,xgb,1.2620409226660898,0.7239203777471976,-0.2022598047391663,137
MAC,xgb,7.59916039787946,3.022881905120713,-0.0694567058853941,546
MKD,xgb,1.9004955001889785,0.964365955405588,-0.3470633225738904,962
MYS,xgb,1.7625499467037216,0.8609332090051954,-0.1348791291067133,548
MDV,xgb,4.798657164090251,2.111963774300774,-0.1290426963247606,556
MLT,xgb,1.6959337086811912,0.9373867613854148,-0.0818292546767378,181
MEX,xgb,1.6076545681462946,0.6808839795375421,-0.1311438206592328,273
MDA,xgb,2.2831281202967046,1.3371649802483003,-0.2498520615420074,921
MNG,xgb,2.1854293615236684,1.4216002214317476,-0.7444528893105347,948
NAM,xgb,2.1946580514438514,1.336956386621147,-0.1897236561384296,728
NLD,xgb,0.881291906932352,0.4239091910031139,-0.1875194001695492,138
NZL,xgb,1.227174553684779,0.6127400168867451,-0.2163300913120518,196
NGA,xgb,1.0754842212358875,0.5941396208251442,-0.2969094085379975,694
NOR,xgb,1.115724376353852,0.6477730492717684,-0.0462645210120002,142
PAK,xgb,1.226010465896073,0.9370834185027106,-0.9641815903872452,564
PRY,xgb,1.6292329778391983,0.9216257134538324,-0.1501288422001474,288
PER,xgb,2.6821008179112447,1.154272206321669,-0.1935064630255312,293
PHL,xgb,1.2482036247225372,0.6722927292869629,-0.1560682073647921,566
POL,xgb,1.128949015421642,0.6396325872128282,-0.2568677788759879,964
QAT,xgb,1.096614402065502,0.6759916620880126,-0.5418074785651146,453
ROU,xgb,1.9011468524158053,1.0982216028735832,-0.2890494525554785,968
RUS,xgb,1.1426941456714794,0.6419460762340786,-0.154011034242107,922
SAU,xgb,1.3447922496564622,0.8241751257405018,-0.2552679676766374,456
SRB,xgb,1.4808479698709862,0.7748460242263008,-0.6114783527933014,942
SGP,xgb,1.3289561580896625,0.8594666061044973,0.0224330541051468,576
SVK,xgb,1.2064192368600175,0.6286956970990565,-0.1425750503997289,936
